Alcaldia,Cuenta Twitter
Antonio Nariño,@ALantonionarino ‏
Barrios Unidos,@AlcaldiaBunidos
Bosa,@AlcaldiadeBosa
Candelaria,@Alcandelaria_
Chapinero,@AlcaldChapinero ‏
Ciudad Bolivar,@ALCBolivar ‏
Engativa,@Engativalcaldia
Fontibon,@Fontibon_Bogota
Kennedy,@Alcaldiakennedy
Martires,@Alca_Martires
Puente Aranda,@Localidad16
Rafael Uribe Uribe,@rafaeluribeu
San Cristobal,@LocSanCristobal ‏
Santa Fe,@AlcaldiaSantaFe
Suba,@ALCALDIASUBA11
Sumapaz,@asumapaz ‏
Teusaquillo,@teusaquillo13
Tunjuelito,@ALCtunjuelito ‏
Usaquen,@alcaldiausaquen
Usme,@UsmeAlcaldia ‏